"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 13:52:43 GMT 2022","Wed Jun 01 13:52:54 GMT 2022","10615","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 13:54:00 GMT 2022","Wed Jun 01 13:54:00 GMT 2022","211","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Wed Jun 01 13:52:40 GMT 2022","Wed Jun 01 13:52:41 GMT 2022","979","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Wed Jun 01 13:54:03 GMT 2022","Wed Jun 01 13:54:13 GMT 2022","10480","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 01 13:53:07 GMT 2022","Wed Jun 01 13:53:18 GMT 2022","10410","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Wed Jun 01 13:53:32 GMT 2022","Wed Jun 01 13:53:42 GMT 2022","10456","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Wed Jun 01 13:52:37 GMT 2022","Wed Jun 01 13:52:39 GMT 2022","2126","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Jun 01 13:53:56 GMT 2022","Wed Jun 01 13:53:58 GMT 2022","2249","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"broken","Wed Jun 01 13:52:55 GMT 2022","Wed Jun 01 13:53:06 GMT 2022","10445","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Wed Jun 01 13:53:44 GMT 2022","Wed Jun 01 13:53:54 GMT 2022","10478","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Wed Jun 01 13:53:20 GMT 2022","Wed Jun 01 13:53:30 GMT 2022","10458","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
