"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 13:24:52 GMT 2022","Wed Jun 01 13:24:52 GMT 2022","253","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Wed Jun 01 13:24:33 GMT 2022","Wed Jun 01 13:24:39 GMT 2022","5424","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Wed Jun 01 13:24:26 GMT 2022","Wed Jun 01 13:24:32 GMT 2022","5414","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Wed Jun 01 13:24:19 GMT 2022","Wed Jun 01 13:24:25 GMT 2022","5400","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Wed Jun 01 13:24:12 GMT 2022","Wed Jun 01 13:24:17 GMT 2022","5442","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Wed Jun 01 13:24:55 GMT 2022","Wed Jun 01 13:25:00 GMT 2022","5431","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 13:24:02 GMT 2022","Wed Jun 01 13:24:03 GMT 2022","922","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Wed Jun 01 13:24:05 GMT 2022","Wed Jun 01 13:24:10 GMT 2022","5432","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 01 13:24:48 GMT 2022","Wed Jun 01 13:24:50 GMT 2022","2305","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Wed Jun 01 13:23:58 GMT 2022","Wed Jun 01 13:24:00 GMT 2022","2069","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Jun 01 13:24:41 GMT 2022","Wed Jun 01 13:24:46 GMT 2022","5428","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
