"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 08:14:58 GMT 2022","Wed Jun 08 08:15:15 GMT 2022","17241","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"broken","Wed Jun 08 08:14:01 GMT 2022","Wed Jun 08 08:14:29 GMT 2022","28425","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Wed Jun 08 08:12:10 GMT 2022","Wed Jun 08 08:12:35 GMT 2022","25261","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 08 08:15:17 GMT 2022","Wed Jun 08 08:15:17 GMT 2022","195","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Wed Jun 08 08:12:03 GMT 2022","Wed Jun 08 08:12:05 GMT 2022","2104","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Jun 08 08:13:04 GMT 2022","Wed Jun 08 08:13:29 GMT 2022","25386","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Wed Jun 08 08:12:07 GMT 2022","Wed Jun 08 08:12:08 GMT 2022","938","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Wed Jun 08 08:13:31 GMT 2022","Wed Jun 08 08:13:59 GMT 2022","28433","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Wed Jun 08 08:14:31 GMT 2022","Wed Jun 08 08:14:56 GMT 2022","25417","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Wed Jun 08 08:12:37 GMT 2022","Wed Jun 08 08:13:02 GMT 2022","25420","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Wed Jun 08 08:15:18 GMT 2022","Wed Jun 08 08:15:44 GMT 2022","25420","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
