"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 02 11:33:19 GMT 2022","Thu Jun 02 11:33:23 GMT 2022","4228","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Thu Jun 02 11:32:03 GMT 2022","Thu Jun 02 11:32:04 GMT 2022","835","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Thu Jun 02 11:32:24 GMT 2022","Thu Jun 02 11:32:36 GMT 2022","12357","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Thu Jun 02 11:33:28 GMT 2022","Thu Jun 02 11:33:40 GMT 2022","12390","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Thu Jun 02 11:32:06 GMT 2022","Thu Jun 02 11:32:08 GMT 2022","2237","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Thu Jun 02 11:33:25 GMT 2022","Thu Jun 02 11:33:25 GMT 2022","192","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Thu Jun 02 11:32:10 GMT 2022","Thu Jun 02 11:32:22 GMT 2022","12389","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Thu Jun 02 11:32:51 GMT 2022","Thu Jun 02 11:33:04 GMT 2022","12392","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Thu Jun 02 11:32:00 GMT 2022","Thu Jun 02 11:32:02 GMT 2022","2078","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Thu Jun 02 11:33:05 GMT 2022","Thu Jun 02 11:33:18 GMT 2022","12387","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Thu Jun 02 11:32:37 GMT 2022","Thu Jun 02 11:32:50 GMT 2022","12391","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
