"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 02 12:24:05 GMT 2022","Thu Jun 02 12:24:06 GMT 2022","201","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Thu Jun 02 12:22:44 GMT 2022","Thu Jun 02 12:22:45 GMT 2022","1063","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Thu Jun 02 12:23:12 GMT 2022","Thu Jun 02 12:23:23 GMT 2022","10789","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Thu Jun 02 12:24:02 GMT 2022","Thu Jun 02 12:24:04 GMT 2022","2240","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"broken","Thu Jun 02 12:24:08 GMT 2022","Thu Jun 02 12:24:19 GMT 2022","10792","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Thu Jun 02 12:23:37 GMT 2022","Thu Jun 02 12:23:47 GMT 2022","10796","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Thu Jun 02 12:23:24 GMT 2022","Thu Jun 02 12:23:35 GMT 2022","10778","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Thu Jun 02 12:22:47 GMT 2022","Thu Jun 02 12:22:58 GMT 2022","10766","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Thu Jun 02 12:23:49 GMT 2022","Thu Jun 02 12:24:00 GMT 2022","10793","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Thu Jun 02 12:22:30 GMT 2022","Thu Jun 02 12:22:42 GMT 2022","12166","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Thu Jun 02 12:22:59 GMT 2022","Thu Jun 02 12:23:10 GMT 2022","10778","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
