"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 07:39:29 GMT 2022","Wed Jun 08 07:39:49 GMT 2022","20432","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 08 07:39:51 GMT 2022","Wed Jun 08 07:40:11 GMT 2022","20439","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Wed Jun 08 07:42:03 GMT 2022","Wed Jun 08 07:42:24 GMT 2022","20445","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 08 07:41:25 GMT 2022","Wed Jun 08 07:41:45 GMT 2022","20449","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Wed Jun 08 07:42:00 GMT 2022","Wed Jun 08 07:42:01 GMT 2022","196","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Wed Jun 08 07:40:35 GMT 2022","Wed Jun 08 07:40:58 GMT 2022","23434","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Wed Jun 08 07:41:00 GMT 2022","Wed Jun 08 07:41:23 GMT 2022","23444","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Wed Jun 08 07:41:47 GMT 2022","Wed Jun 08 07:41:59 GMT 2022","12244","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Wed Jun 08 07:39:23 GMT 2022","Wed Jun 08 07:39:25 GMT 2022","2063","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Jun 08 07:40:13 GMT 2022","Wed Jun 08 07:40:33 GMT 2022","20402","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Wed Jun 08 07:39:26 GMT 2022","Wed Jun 08 07:39:27 GMT 2022","878","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
