"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 02 12:11:16 GMT 2022","Thu Jun 02 12:11:21 GMT 2022","5245","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Thu Jun 02 12:10:41 GMT 2022","Thu Jun 02 12:10:43 GMT 2022","2061","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Thu Jun 02 12:11:26 GMT 2022","Thu Jun 02 12:11:29 GMT 2022","3229","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Jun 02 12:10:44 GMT 2022","Thu Jun 02 12:10:46 GMT 2022","1333","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Thu Jun 02 12:11:11 GMT 2022","Thu Jun 02 12:11:15 GMT 2022","3241","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Thu Jun 02 12:11:06 GMT 2022","Thu Jun 02 12:11:10 GMT 2022","3245","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Thu Jun 02 12:10:57 GMT 2022","Thu Jun 02 12:11:00 GMT 2022","3231","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Thu Jun 02 12:10:52 GMT 2022","Thu Jun 02 12:10:55 GMT 2022","3247","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Thu Jun 02 12:11:02 GMT 2022","Thu Jun 02 12:11:05 GMT 2022","3243","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Thu Jun 02 12:10:47 GMT 2022","Thu Jun 02 12:10:50 GMT 2022","3232","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Thu Jun 02 12:11:23 GMT 2022","Thu Jun 02 12:11:23 GMT 2022","194","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
