"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 09:23:07 GMT 2022","Wed Jun 08 09:23:09 GMT 2022","2129","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Jun 08 09:23:15 GMT 2022","Wed Jun 08 09:23:20 GMT 2022","4750","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 08 09:23:11 GMT 2022","Wed Jun 08 09:23:13 GMT 2022","2468","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
