"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 09:41:29 GMT 2022","Wed Jun 08 09:41:31 GMT 2022","1177","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Wed Jun 08 09:42:01 GMT 2022","Wed Jun 08 09:42:01 GMT 2022","242","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Wed Jun 08 09:41:54 GMT 2022","Wed Jun 08 09:41:59 GMT 2022","5182","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Wed Jun 08 09:41:42 GMT 2022","Wed Jun 08 09:41:44 GMT 2022","1835","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Wed Jun 08 09:41:32 GMT 2022","Wed Jun 08 09:41:36 GMT 2022","3419","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 08 09:41:26 GMT 2022","Wed Jun 08 09:41:28 GMT 2022","2213","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Jun 08 09:41:40 GMT 2022","Wed Jun 08 09:41:41 GMT 2022","897","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Wed Jun 08 09:41:50 GMT 2022","Wed Jun 08 09:41:52 GMT 2022","2670","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Wed Jun 08 09:41:46 GMT 2022","Wed Jun 08 09:41:48 GMT 2022","2307","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Wed Jun 08 09:41:37 GMT 2022","Wed Jun 08 09:41:38 GMT 2022","936","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"passed","Wed Jun 08 09:42:04 GMT 2022","Wed Jun 08 09:42:04 GMT 2022","852","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
