"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 09:02:49 GMT 2022","Wed Jun 08 09:02:51 GMT 2022","2149","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Jun 08 09:02:53 GMT 2022","Wed Jun 08 09:02:54 GMT 2022","915","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Wed Jun 08 09:02:55 GMT 2022","Wed Jun 08 09:03:06 GMT 2022","10331","Test_Conduit","test_conduit","TestConduit","","","test_login",""
