"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 08:45:56 GMT 2022","Wed Jun 08 08:45:58 GMT 2022","1644","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Wed Jun 08 08:45:52 GMT 2022","Wed Jun 08 08:45:55 GMT 2022","2410","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Jun 08 08:46:00 GMT 2022","Wed Jun 08 08:46:30 GMT 2022","30276","Test_Conduit","test_conduit","TestConduit","","","test_login",""
