"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 09:53:34 GMT 2022","Wed Jun 08 09:53:36 GMT 2022","2915","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Wed Jun 08 09:53:07 GMT 2022","Wed Jun 08 09:53:09 GMT 2022","2176","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Jun 08 09:53:43 GMT 2022","Wed Jun 08 09:53:44 GMT 2022","1000","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 08 09:53:38 GMT 2022","Wed Jun 08 09:53:38 GMT 2022","336","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Wed Jun 08 09:53:11 GMT 2022","Wed Jun 08 09:53:12 GMT 2022","1098","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Wed Jun 08 09:53:13 GMT 2022","Wed Jun 08 09:53:17 GMT 2022","3674","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 08 09:53:19 GMT 2022","Wed Jun 08 09:53:20 GMT 2022","1562","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"passed","Wed Jun 08 09:53:29 GMT 2022","Wed Jun 08 09:53:32 GMT 2022","2616","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Wed Jun 08 09:53:25 GMT 2022","Wed Jun 08 09:53:28 GMT 2022","2695","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Wed Jun 08 09:53:22 GMT 2022","Wed Jun 08 09:53:23 GMT 2022","1469","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Wed Jun 08 09:53:40 GMT 2022","Wed Jun 08 09:53:40 GMT 2022","301","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
