"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 07:52:05 GMT 2022","Wed Jun 08 07:52:07 GMT 2022","2111","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Jun 08 07:52:12 GMT 2022","Wed Jun 08 07:52:38 GMT 2022","25572","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 08 07:52:10 GMT 2022","Wed Jun 08 07:52:11 GMT 2022","1032","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Wed Jun 08 07:53:07 GMT 2022","Wed Jun 08 07:53:32 GMT 2022","25508","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Wed Jun 08 07:52:40 GMT 2022","Wed Jun 08 07:53:05 GMT 2022","25541","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Wed Jun 08 07:55:01 GMT 2022","Wed Jun 08 07:55:19 GMT 2022","17299","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"broken","Wed Jun 08 07:54:04 GMT 2022","Wed Jun 08 07:54:33 GMT 2022","28550","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Wed Jun 08 07:53:34 GMT 2022","Wed Jun 08 07:54:02 GMT 2022","28548","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Wed Jun 08 07:55:22 GMT 2022","Wed Jun 08 07:55:48 GMT 2022","25561","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 08 07:55:20 GMT 2022","Wed Jun 08 07:55:21 GMT 2022","238","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Wed Jun 08 07:54:34 GMT 2022","Wed Jun 08 07:55:00 GMT 2022","25554","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
