"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 08:50:54 GMT 2022","Wed Jun 08 08:51:45 GMT 2022","50286","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 08 08:50:48 GMT 2022","Wed Jun 08 08:50:50 GMT 2022","2055","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Jun 08 08:50:52 GMT 2022","Wed Jun 08 08:50:53 GMT 2022","824","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
