"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 08:26:28 GMT 2022","Wed Jun 08 08:27:04 GMT 2022","35477","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Wed Jun 08 08:27:06 GMT 2022","Wed Jun 08 08:27:44 GMT 2022","38546","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Wed Jun 08 08:28:26 GMT 2022","Wed Jun 08 08:29:01 GMT 2022","35531","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Wed Jun 08 08:25:13 GMT 2022","Wed Jun 08 08:25:15 GMT 2022","2064","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Jun 08 08:29:03 GMT 2022","Wed Jun 08 08:29:30 GMT 2022","27320","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Wed Jun 08 08:25:17 GMT 2022","Wed Jun 08 08:25:18 GMT 2022","921","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Wed Jun 08 08:25:19 GMT 2022","Wed Jun 08 08:25:50 GMT 2022","30331","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 08 08:29:34 GMT 2022","Wed Jun 08 08:30:10 GMT 2022","35536","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 08 08:29:32 GMT 2022","Wed Jun 08 08:29:32 GMT 2022","248","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Wed Jun 08 08:25:51 GMT 2022","Wed Jun 08 08:26:27 GMT 2022","35535","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Wed Jun 08 08:27:46 GMT 2022","Wed Jun 08 08:28:24 GMT 2022","38536","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
