"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 30 12:33:00 GMT 2022","Mon May 30 12:33:00 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Mon May 30 12:33:05 GMT 2022","Mon May 30 12:33:05 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Mon May 30 12:33:01 GMT 2022","Mon May 30 12:33:01 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Mon May 30 12:33:09 GMT 2022","Mon May 30 12:33:09 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"broken","Mon May 30 12:33:06 GMT 2022","Mon May 30 12:33:06 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Mon May 30 12:32:58 GMT 2022","Mon May 30 12:32:58 GMT 2022","1","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Mon May 30 12:33:10 GMT 2022","Mon May 30 12:33:10 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Mon May 30 12:33:11 GMT 2022","Mon May 30 12:33:11 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Mon May 30 12:33:08 GMT 2022","Mon May 30 12:33:08 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Mon May 30 12:33:03 GMT 2022","Mon May 30 12:33:03 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Mon May 30 12:33:04 GMT 2022","Mon May 30 12:33:04 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
