"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 07:23:16 GMT 2022","Wed Jun 08 07:23:27 GMT 2022","10409","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Wed Jun 08 07:23:40 GMT 2022","Wed Jun 08 07:23:50 GMT 2022","10404","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Wed Jun 08 07:23:28 GMT 2022","Wed Jun 08 07:23:38 GMT 2022","10362","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Wed Jun 08 07:24:04 GMT 2022","Wed Jun 08 07:24:14 GMT 2022","10420","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Wed Jun 08 07:24:23 GMT 2022","Wed Jun 08 07:24:33 GMT 2022","10418","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 08 07:24:20 GMT 2022","Wed Jun 08 07:24:20 GMT 2022","196","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Wed Jun 08 07:23:02 GMT 2022","Wed Jun 08 07:23:03 GMT 2022","835","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Wed Jun 08 07:23:52 GMT 2022","Wed Jun 08 07:24:02 GMT 2022","10412","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Wed Jun 08 07:22:58 GMT 2022","Wed Jun 08 07:23:00 GMT 2022","2052","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Jun 08 07:23:04 GMT 2022","Wed Jun 08 07:23:15 GMT 2022","10406","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 08 07:24:16 GMT 2022","Wed Jun 08 07:24:18 GMT 2022","2240","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
