"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 09:07:02 GMT 2022","Wed Jun 08 09:07:04 GMT 2022","2063","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Jun 08 09:07:08 GMT 2022","Wed Jun 08 09:07:11 GMT 2022","3406","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 08 09:07:05 GMT 2022","Wed Jun 08 09:07:06 GMT 2022","863","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
