"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 09:36:52 GMT 2022","Wed Jun 08 09:36:53 GMT 2022","1814","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Wed Jun 08 09:36:57 GMT 2022","Wed Jun 08 09:36:57 GMT 2022","269","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Wed Jun 08 09:36:42 GMT 2022","Wed Jun 08 09:36:43 GMT 2022","1422","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Wed Jun 08 09:37:00 GMT 2022","Wed Jun 08 09:37:01 GMT 2022","928","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 08 09:36:55 GMT 2022","Wed Jun 08 09:36:55 GMT 2022","283","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Wed Jun 08 09:36:39 GMT 2022","Wed Jun 08 09:36:40 GMT 2022","1033","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"passed","Wed Jun 08 09:36:27 GMT 2022","Wed Jun 08 09:36:29 GMT 2022","2064","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Jun 08 09:36:34 GMT 2022","Wed Jun 08 09:36:37 GMT 2022","3447","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 08 09:36:31 GMT 2022","Wed Jun 08 09:36:32 GMT 2022","931","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Wed Jun 08 09:36:45 GMT 2022","Wed Jun 08 09:36:47 GMT 2022","2078","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Wed Jun 08 09:36:48 GMT 2022","Wed Jun 08 09:36:50 GMT 2022","1566","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
