"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 09:30:48 GMT 2022","Wed Jun 08 09:30:49 GMT 2022","1444","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Wed Jun 08 09:30:45 GMT 2022","Wed Jun 08 09:30:46 GMT 2022","1430","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"passed","Wed Jun 08 09:31:00 GMT 2022","Wed Jun 08 09:31:02 GMT 2022","2340","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Wed Jun 08 09:30:51 GMT 2022","Wed Jun 08 09:30:53 GMT 2022","2072","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Wed Jun 08 09:31:09 GMT 2022","Wed Jun 08 09:31:10 GMT 2022","980","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 08 09:30:40 GMT 2022","Wed Jun 08 09:30:43 GMT 2022","2960","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"failed","Wed Jun 08 09:30:35 GMT 2022","Wed Jun 08 09:30:35 GMT 2022","66","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Jun 08 09:31:06 GMT 2022","Wed Jun 08 09:31:06 GMT 2022","289","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Wed Jun 08 09:30:37 GMT 2022","Wed Jun 08 09:30:38 GMT 2022","915","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Wed Jun 08 09:30:55 GMT 2022","Wed Jun 08 09:30:58 GMT 2022","2595","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Wed Jun 08 09:31:04 GMT 2022","Wed Jun 08 09:31:04 GMT 2022","327","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
