"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 02 11:46:48 GMT 2022","Thu Jun 02 11:47:05 GMT 2022","17578","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Thu Jun 02 11:44:44 GMT 2022","Thu Jun 02 11:45:01 GMT 2022","17539","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Thu Jun 02 11:46:39 GMT 2022","Thu Jun 02 11:46:43 GMT 2022","4262","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"broken","Thu Jun 02 11:46:00 GMT 2022","Thu Jun 02 11:46:18 GMT 2022","17580","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Thu Jun 02 11:46:20 GMT 2022","Thu Jun 02 11:46:37 GMT 2022","17573","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Thu Jun 02 11:45:41 GMT 2022","Thu Jun 02 11:45:59 GMT 2022","17563","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Thu Jun 02 11:44:37 GMT 2022","Thu Jun 02 11:44:39 GMT 2022","2082","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Thu Jun 02 11:45:03 GMT 2022","Thu Jun 02 11:45:20 GMT 2022","17557","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"passed","Thu Jun 02 11:44:41 GMT 2022","Thu Jun 02 11:44:42 GMT 2022","871","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Thu Jun 02 11:45:22 GMT 2022","Thu Jun 02 11:45:40 GMT 2022","17490","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Thu Jun 02 11:46:45 GMT 2022","Thu Jun 02 11:46:45 GMT 2022","209","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
