"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 13:31:08 GMT 2022","Wed Jun 01 13:31:19 GMT 2022","10412","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Wed Jun 01 13:30:56 GMT 2022","Wed Jun 01 13:31:06 GMT 2022","10402","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 13:30:54 GMT 2022","Wed Jun 01 13:30:54 GMT 2022","827","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Wed Jun 01 13:30:50 GMT 2022","Wed Jun 01 13:30:52 GMT 2022","2054","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Jun 01 13:31:20 GMT 2022","Wed Jun 01 13:31:31 GMT 2022","10360","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Wed Jun 01 13:32:12 GMT 2022","Wed Jun 01 13:32:13 GMT 2022","191","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Wed Jun 01 13:31:32 GMT 2022","Wed Jun 01 13:31:43 GMT 2022","10414","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Wed Jun 01 13:32:08 GMT 2022","Wed Jun 01 13:32:11 GMT 2022","2229","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"broken","Wed Jun 01 13:32:14 GMT 2022","Wed Jun 01 13:32:19 GMT 2022","5318","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 01 13:31:44 GMT 2022","Wed Jun 01 13:31:55 GMT 2022","10411","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Wed Jun 01 13:31:56 GMT 2022","Wed Jun 01 13:32:07 GMT 2022","10402","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
