"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 02 10:58:54 GMT 2022","Thu Jun 02 10:59:06 GMT 2022","12545","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Thu Jun 02 10:58:30 GMT 2022","Thu Jun 02 10:58:43 GMT 2022","12564","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Thu Jun 02 10:58:51 GMT 2022","Thu Jun 02 10:58:51 GMT 2022","251","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Thu Jun 02 10:57:47 GMT 2022","Thu Jun 02 10:58:00 GMT 2022","12507","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Thu Jun 02 10:58:16 GMT 2022","Thu Jun 02 10:58:29 GMT 2022","12571","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Thu Jun 02 10:58:45 GMT 2022","Thu Jun 02 10:58:49 GMT 2022","4299","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Thu Jun 02 10:57:16 GMT 2022","Thu Jun 02 10:57:17 GMT 2022","985","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Thu Jun 02 10:57:12 GMT 2022","Thu Jun 02 10:57:14 GMT 2022","2103","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Thu Jun 02 10:57:19 GMT 2022","Thu Jun 02 10:57:31 GMT 2022","12556","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Thu Jun 02 10:58:02 GMT 2022","Thu Jun 02 10:58:14 GMT 2022","12549","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Thu Jun 02 10:57:33 GMT 2022","Thu Jun 02 10:57:46 GMT 2022","12557","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
