"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 08:03:14 GMT 2022","Wed Jun 08 08:03:40 GMT 2022","25575","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 08 08:01:25 GMT 2022","Wed Jun 08 08:01:54 GMT 2022","28585","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Wed Jun 08 08:02:26 GMT 2022","Wed Jun 08 08:02:51 GMT 2022","25585","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Wed Jun 08 08:01:56 GMT 2022","Wed Jun 08 08:02:24 GMT 2022","28601","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Wed Jun 08 08:03:12 GMT 2022","Wed Jun 08 08:03:12 GMT 2022","281","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Wed Jun 08 07:59:47 GMT 2022","Wed Jun 08 07:59:49 GMT 2022","2183","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Jun 08 08:00:58 GMT 2022","Wed Jun 08 08:01:24 GMT 2022","25558","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Wed Jun 08 07:59:50 GMT 2022","Wed Jun 08 07:59:52 GMT 2022","1149","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Wed Jun 08 08:00:31 GMT 2022","Wed Jun 08 08:00:56 GMT 2022","25592","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Wed Jun 08 07:59:53 GMT 2022","Wed Jun 08 08:00:29 GMT 2022","35583","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 08 08:02:53 GMT 2022","Wed Jun 08 08:03:11 GMT 2022","17350","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
