"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 07:46:35 GMT 2022","Wed Jun 08 07:46:56 GMT 2022","20541","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 08 07:47:22 GMT 2022","Wed Jun 08 07:47:36 GMT 2022","13564","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Wed Jun 08 07:46:58 GMT 2022","Wed Jun 08 07:47:08 GMT 2022","10571","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"passed","Wed Jun 08 07:46:29 GMT 2022","Wed Jun 08 07:46:31 GMT 2022","2154","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Jun 08 07:46:33 GMT 2022","Wed Jun 08 07:46:34 GMT 2022","1172","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Wed Jun 08 07:48:09 GMT 2022","Wed Jun 08 07:48:09 GMT 2022","235","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Wed Jun 08 07:47:10 GMT 2022","Wed Jun 08 07:47:20 GMT 2022","10445","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Wed Jun 08 07:48:11 GMT 2022","Wed Jun 08 07:48:22 GMT 2022","10547","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 08 07:47:37 GMT 2022","Wed Jun 08 07:47:51 GMT 2022","13525","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Wed Jun 08 07:47:52 GMT 2022","Wed Jun 08 07:48:03 GMT 2022","10506","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Wed Jun 08 07:48:05 GMT 2022","Wed Jun 08 07:48:07 GMT 2022","2301","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
