"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 30 12:23:51 GMT 2022","Mon May 30 12:23:51 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Mon May 30 12:23:55 GMT 2022","Mon May 30 12:23:55 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Mon May 30 12:23:46 GMT 2022","Mon May 30 12:23:46 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_display_list",""
"broken","Mon May 30 12:23:48 GMT 2022","Mon May 30 12:23:48 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Mon May 30 12:23:44 GMT 2022","Mon May 30 12:23:44 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_login",""
"broken","Mon May 30 12:23:40 GMT 2022","Mon May 30 12:23:40 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Mon May 30 12:23:53 GMT 2022","Mon May 30 12:23:53 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Mon May 30 12:23:43 GMT 2022","Mon May 30 12:23:43 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_sign_up",""
"broken","Mon May 30 12:23:52 GMT 2022","Mon May 30 12:23:52 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_delete_comment",""
"broken","Mon May 30 12:23:47 GMT 2022","Mon May 30 12:23:47 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Mon May 30 12:23:49 GMT 2022","Mon May 30 12:23:49 GMT 2022","0","Test_Conduit","test_conduit","TestConduit","","","test_import_data_from_file",""
